"purl","group_id","artifact_id","git_url"
"pkg:maven/junit/junit","junit","junit","https://github.com/junit-team/junit4"
"pkg:maven/org.slf4j/log4j-over-slf4j","org.slf4j","log4j-over-slf4j","https://github.com/qos-ch/slf4j"
"pkg:maven/org.scala-lang/scala-library","org.scala-lang","scala-library","https://github.com/scala/scala"
"pkg:maven/com.google.guava/guava","com.google.guava","guava","https://github.com/google/guava"
"pkg:maven/org.clojure/clojure","org.clojure","clojure","https://github.com/clojure/clojure"
"pkg:maven/commons-io/commons-io","commons-io","commons-io","https://github.com/apache/commons-io"
"pkg:maven/org.apache.logging.log4j/log4j","org.apache.logging.log4j","log4j","https://github.com/apache/logging-log4j2"
"pkg:maven/ch.qos.logback/logback-classic","ch.qos.logback","logback-classic","https://github.com/qos-ch/logback"
"pkg:maven/org.mockito/mockito-core","org.mockito","mockito-core","https://github.com/mockito/mockito"
"pkg:maven/org.slf4j/slf4j-log4j12","org.slf4j","slf4j-log4j12","https://github.com/qos-ch/slf4j"
"pkg:maven/org.mockito/mockito-all","org.mockito","mockito-all","https://github.com/mockito/mockito"
"pkg:maven/javax.servlet/servlet-api","javax.servlet","servlet-api",
"pkg:maven/org.apache.commons/commons-lang3","org.apache.commons","commons-lang3","https://github.com/apache/commons-lang"
"pkg:maven/com.fasterxml.jackson.core/jackson-databind","com.fasterxml.jackson.core","jackson-databind","https://github.com/FasterXML/jackson-databind"
"pkg:maven/javax.servlet/javax.servlet-api","javax.servlet","javax.servlet-api",
"pkg:maven/commons-logging/commons-logging","commons-logging","commons-logging","https://github.com/apache/commons-logging"
"pkg:maven/org.apache.httpcomponents/httpclient","org.apache.httpcomponents","httpclient","https://github.com/apache/httpcomponents-client"
"pkg:maven/org.slf4j/slf4j-simple","org.slf4j","slf4j-simple","https://github.com/qos-ch/slf4j"
"pkg:maven/org.testng/testng","org.testng","testng","https://github.com/cbeust/testng"
"pkg:maven/org.springframework/spring-context","org.springframework","spring-context","https://github.com/spring-projects/spring-framework"
"pkg:maven/commons-codec/commons-codec","commons-codec","commons-codec","https://github.com/apache/commons-codec"
"pkg:maven/joda-time/joda-time","joda-time","joda-time","https://github.com/JodaOrg/joda-time"
"pkg:maven/org.springframework/spring-test","org.springframework","spring-test","https://github.com/spring-projects/spring-framework"
"pkg:maven/com.google.code.gson/gson","com.google.code.gson","gson","https://github.com/google/gson"
"pkg:maven/org.osgi/org.osgi.core","org.osgi","org.osgi.core","https://github.com/aosgi/org.osgi"
"pkg:maven/org.slf4j/jcl-over-slf4j","org.slf4j","jcl-over-slf4j","https://github.com/qos-ch/slf4j"
"pkg:maven/org.apache.maven/maven-plugin-api","org.apache.maven","maven-plugin-api","https://github.com/apache/maven"
"pkg:maven/com.google.code.findbugs/jsr305","com.google.code.findbugs","jsr305","https://github.com/findbugsproject/findbugs"
"pkg:maven/org.springframework/spring-core","org.springframework","spring-core","https://github.com/spring-projects/spring-framework"
"pkg:maven/com.fasterxml.jackson.core/jackson-core","com.fasterxml.jackson.core","jackson-core",
"pkg:maven/commons-collections/commons-collections","commons-collections","commons-collections",
"pkg:maven/org.assertj/assertj-core","org.assertj","assertj-core","https://github.com/joel-costigliola/assertj-core"
"pkg:maven/org.hamcrest/hamcrest-all","org.hamcrest","hamcrest-all",
"pkg:maven/com.h2database/h2","com.h2database","h2",
"pkg:maven/org.hamcrest/hamcrest-library","org.hamcrest","hamcrest-library",
"pkg:maven/com.fasterxml.jackson.core/jackson-annotations","com.fasterxml.jackson.core","jackson-annotations",
"pkg:maven/org.springframework/spring-beans","org.springframework","spring-beans","https://github.com/spring-projects/spring-framework"
"pkg:maven/org.easymock/easymock","org.easymock","easymock",
"pkg:maven/org.springframework/spring-web","org.springframework","spring-web","https://github.com/spring-projects/spring-framework"
"pkg:maven/javax.inject/javax.inject","javax.inject","javax.inject",
"pkg:maven/org.hamcrest/hamcrest-core","org.hamcrest","hamcrest-core",
"pkg:maven/org.osgi/org.osgi.compendium","org.osgi","org.osgi.compendium",
"pkg:maven/org.projectlombok/lombok","org.projectlombok","lombok",
"pkg:maven/org.apache.logging.log4j/log4j-core","org.apache.logging.log4j","log4j-core",
"pkg:maven/org.codehaus.jackson/jackson-mapper-asl","org.codehaus.jackson","jackson-mapper-asl",
"pkg:maven/commons-beanutils/commons-beanutils","commons-beanutils","commons-beanutils",
"pkg:maven/com.google.inject/guice","com.google.inject","guice","https://github.com/google/guice"
"pkg:maven/org.codehaus.groovy/groovy-all","org.codehaus.groovy","groovy-all",
"pkg:maven/commons-cli/commons-cli","commons-cli","commons-cli",
"pkg:maven/org.codehaus.plexus/plexus-utils","org.codehaus.plexus","plexus-utils",
"pkg:maven/org.apache.maven.plugin-tools/maven-plugin-annotations","org.apache.maven.plugin-tools","maven-plugin-annotations","https://github.com/apache/maven-plugin-tools"
"pkg:maven/javax.validation/validation-api","javax.validation","validation-api",
"pkg:maven/mysql/mysql-connector-java","mysql","mysql-connector-java",
"pkg:maven/org.apache.maven/maven-project","org.apache.maven","maven-project","https://github.com/apache/maven"
"pkg:maven/org.springframework.boot/spring-boot-starter-test","org.springframework.boot","spring-boot-starter-test","https://github.com/spring-projects/spring-boot"
"pkg:maven/org.springframework/spring-webmvc","org.springframework","spring-webmvc","https://github.com/spring-projects/spring-framework"
"pkg:maven/org.apache.maven/maven-core","org.apache.maven","maven-core","https://github.com/apache/maven"
"pkg:maven/ch.qos.logback/logback-core","ch.qos.logback","logback-core","https://github.com/qos-ch/logback"
"pkg:maven/org.apache.httpcomponents/httpcore","org.apache.httpcomponents","httpcore",
"pkg:maven/org.scala-js/scalajs-library","org.scala-js","scalajs-library","https://github.com/scala-js/scala-js"
"pkg:maven/org.hibernate/hibernate-core","org.hibernate","hibernate-core",
"pkg:maven/commons-httpclient/commons-httpclient","commons-httpclient","commons-httpclient",
"pkg:maven/org.hibernate/hibernate-validator","org.hibernate","hibernate-validator",
"pkg:maven/org.scoverage/sbt-scoverage","org.scoverage","sbt-scoverage","https://github.com/scoverage/sbt-scoverage"
"pkg:maven/org.apache.logging.log4j/log4j-api","org.apache.logging.log4j","log4j-api",
"pkg:maven/org.scoverage/scalac-scoverage-plugin","org.scoverage","scalac-scoverage-plugin","https://github.com/scoverage/scalac-scoverage-plugin"
"pkg:maven/org.scalacheck/scalacheck","org.scalacheck","scalacheck","https://github.com/rickynils/scalacheck"
"pkg:maven/org.scala-lang/scala-reflect","org.scala-lang","scala-reflect","https://github.com/scala/scala"
